id,block,trial,gesture,manipulation,direction,magnitude,time,recognized,correct
15,6,4,1,0,0,0,2449,1,true
15,6,5,1,0,0,0,2721,1,true
15,6,6,1,0,0,0,2637,1,true
15,7,0,12,2,1,1,3309,12,true
15,7,1,12,2,1,1,3699,12,true
15,7,2,12,2,1,1,4099,12,true
15,7,3,12,2,1,1,3756,12,true
15,7,4,12,2,1,1,3668,12,true
15,7,5,12,2,1,1,3412,12,true
15,7,6,12,2,1,1,4179,12,true
15,8,0,3,0,1,0,2926,3,true
15,8,1,3,0,1,0,6042,0,false
15,8,2,3,0,1,0,3045,3,true
15,8,3,3,0,1,0,6017,0,false
15,8,4,3,0,1,0,6030,0,false
15,8,5,3,0,1,0,2925,3,true
15,8,6,3,0,1,0,3071,3,true
15,9,0,6,1,0,1,2640,6,true
15,9,1,6,1,0,1,3095,6,true
15,9,2,6,1,0,1,2657,6,true
15,9,3,6,1,0,1,2517,6,true
15,9,4,6,1,0,1,2355,6,true
15,9,5,6,1,0,1,2601,6,true
15,9,6,6,1,0,1,2460,6,true
15,10,0,8,1,1,1,3384,8,true
15,10,1,8,1,1,1,3378,8,true
15,10,2,8,1,1,1,3228,8,true
15,10,3,8,1,1,1,2690,8,true
15,10,4,8,1,1,1,3287,8,true
15,10,5,8,1,1,1,2774,8,true
15,10,6,8,1,1,1,2802,8,true
15,11,0,2,0,0,1,4948,2,true
15,11,1,2,0,0,1,3400,2,true
15,11,2,2,0,0,1,3952,2,true
15,11,3,2,0,0,1,4030,2,true
15,11,4,2,0,0,1,4477,2,true
15,11,5,2,0,0,1,5010,2,true
15,11,6,2,0,0,1,4108,2,true
17,0,0,10,2,0,1,6034,0,false
17,0,1,10,2,0,1,6030,0,false
17,0,2,10,2,0,1,3839,10,true
17,0,3,10,2,0,1,4665,10,true
17,0,4,10,2,0,1,3785,10,true
17,0,5,10,2,0,1,3074,10,true
17,0,6,10,2,0,1,4282,10,true
17,1,0,5,1,0,0,2196,5,true
17,1,1,5,1,0,0,2506,5,true
17,1,2,5,1,0,0,1972,5,true
17,1,3,5,1,0,0,2064,5,true
17,1,4,5,1,0,0,2117,5,true
17,1,5,5,1,0,0,2381,5,true
17,1,6,5,1,0,0,2389,5,true
17,2,0,6,1,0,1,3105,6,true
17,2,1,6,1,0,1,3028,6,true
17,2,2,6,1,0,1,4860,6,true
17,2,3,6,1,0,1,2783,6,true
17,2,4,6,1,0,1,3654,6,true
17,2,5,6,1,0,1,4014,6,true
17,2,6,6,1,0,1,4042,6,true
17,3,0,7,1,1,0,2264,7,true
17,3,1,7,1,1,0,2444,7,true
17,3,2,7,1,1,0,2096,7,true
17,3,3,7,1,1,0,2121,7,true
17,3,4,7,1,1,0,2110,7,true
17,3,5,7,1,1,0,2209,7,true
17,3,6,7,1,1,0,2270,7,true
17,4,0,2,0,0,1,4857,2,true
17,4,1,2,0,0,1,5190,2,true
17,4,2,2,0,0,1,5146,2,true
17,4,3,2,0,0,1,4643,2,true
17,4,4,2,0,0,1,5712,2,true
17,4,5,2,0,0,1,3802,2,true
17,4,6,2,0,0,1,4548,2,true
17,5,0,9,2,0,0,2883,9,true
17,5,1,9,2,0,0,2306,9,true
17,5,2,9,2,0,0,2004,9,true
17,5,3,9,2,0,0,2332,9,true
17,5,4,9,2,0,0,2175,9,true
17,5,5,9,2,0,0,1894,9,true
17,5,6,9,2,0,0,2359,9,true
17,6,0,4,0,1,1,2826,4,true
17,6,1,4,0,1,1,4237,4,true
17,6,2,4,0,1,1,5956,4,true
17,6,3,4,0,1,1,4996,4,true
17,6,4,4,0,1,1,3502,4,true
17,6,5,4,0,1,1,4728,4,true
17,6,6,4,0,1,1,4673,4,true
17,7,0,11,2,1,0,3930,11,true
17,7,1,11,2,1,0,3345,11,true
17,7,2,11,2,1,0,6029,0,false
17,7,3,11,2,1,0,3368,11,true
17,7,4,11,2,1,0,3080,11,true
17,7,5,11,2,1,0,3418,11,true
17,7,6,11,2,1,0,79,9,false
17,8,0,3,0,1,0,2424,3,true
17,8,1,3,0,1,0,2105,3,true
17,8,2,3,0,1,0,2757,3,true
17,8,3,3,0,1,0,2169,3,true
17,8,4,3,0,1,0,6049,0,false
17,8,5,3,0,1,0,2533,3,true
17,8,6,3,0,1,0,1963,3,true
17,9,0,8,1,1,1,4010,8,true
17,9,1,8,1,1,1,2821,8,true
17,9,2,8,1,1,1,3215,8,true
17,9,3,8,1,1,1,3286,8,true
17,9,4,8,1,1,1,3940,8,true
17,9,5,8,1,1,1,3760,8,true
17,9,6,8,1,1,1,3759,8,true
17,10,0,12,2,1,1,4424,12,true
17,10,1,12,2,1,1,6040,0,false
17,10,2,12,2,1,1,4923,12,true
17,10,3,12,2,1,1,4604,12,true
17,10,4,12,2,1,1,4068,12,true
17,10,5,12,2,1,1,4276,12,true
17,10,6,12,2,1,1,2899,12,true
17,11,0,1,0,0,0,3315,1,true
17,11,1,1,0,0,0,3317,1,true
17,11,2,1,0,0,0,6033,0,false
17,11,3,1,0,0,0,6035,0,false
